"","positive","probable_cases","negative","total_test_results","hospitalized_currently","hospitalized_cumulative","in_icu_currently","in_icu_cumulative","on_ventilator_currently","on_ventilator_cumulative","recovered","death","hospitalized","total_tests_viral","positive_tests_viral","negative_tests_viral","positive_cases_viral","death_confirmed","death_probable","total_test_encounters_viral","total_tests_people_viral","total_tests_antibody","positive_tests_antibody","negative_tests_antibody","total_tests_people_antibody","positive_tests_people_antibody","negative_tests_people_antibody","total_tests_people_antigen","positive_tests_people_antigen","total_tests_antigen","positive_tests_antigen","positive_increase","negative_increase","total","total_test_results_increase","death_increase","hospitalized_increase","commercial_score","negative_regular_score","negative_score","positive_score","score"
"1",0.00210167551396755,0,0,0.00487694879697653,0.000492650621870457,0.00152313340787337,0,0,0.00117065556711759,0,0,0.000586094774073206,0.00152313340787337,0.00657794899859839,0.00511564587719934,0.0253771920405999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000852509104797239,0,0.000377473273978599,0.00218229671827944,0.000467071461933676,0.00280723643169058,0,0,0,0,0
"2",0.0177263105820268,0.0468945985520302,0.0154876709559173,0.00703722599798123,0.0219996769504119,0.0517812927234333,0,0.0619903747849288,0,0.365954159155292,0.023199288262923,0.0156105068955324,0.0517812927234333,0,0,0,0.0187285225835873,0.0273536998010543,0.0514687421541552,0,0.040580137912749,0,0,0,0.0754244089141305,0,0,0,0,0,0,0.0171524831885205,0.00790482644658788,0.0158885332140355,0.00400000925928069,0.00233535730966838,0,0,0,0,0,0
"3",0.0113700429203598,0.0282765431675598,0.0188149391816536,0.00789049922205149,0.0102164432240349,0.0168449117251124,0.0171088627382865,0,0.0271852237252862,0.352304918877157,0.0259457513698869,0.0111765725177612,0.0168449117251124,0.0106425766635714,0,0.0388015894601235,0.0121988465524475,0.0194173195411914,0.0384132563394426,0,0,0,0,0,0,0,0,0.223718275988093,0.406617733488317,0,0,0.009077516947881,0.00857477944157174,0.0174763214117303,0.00369387429137567,0.0200840728631481,0.0296319401122895,0,0,0,0,0
"4",0,0,1.94719161739468e-05,7.37818430669231e-06,0,0,0,0,0,0,0,0,0,9.95157466114249e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59731235923871e-05,0,0,0,0,0,0,0,0
"5",0.0284963378599232,0.020349556493638,0.0235653224098917,0.0210365825582502,0.0386044257793571,0.0625520218219664,0.0479829779842807,0,0.103668054110302,0,0.00975053456580129,0.0287084509769945,0.0625520218219664,0.0283737994663305,0,0,0.0357850401434798,0.0543105805891154,0.0571428571428571,0,0.0643676595999163,0.102281426423759,0,0,0,0,0,0,0,0,0,0.0437644074038711,0.00926329926320643,0.0244491198092349,0.0187158998053236,0.000467071461933676,0.164067373674361,0,0,0,0,0
"6",0.124548253218071,0,0,0.134546855485252,0.16913261185592,0,0.208128880976161,0,0,0,0,0.085975006880243,0,0.181474604337133,0,0,0.165579934304341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162276813116364,0,0.0223695982553408,0.213418896803002,0.0681924334423167,0,0,0,0,0,0
"7",0.0157029720597509,0.00946889564184438,0.0177394342789618,0.0174379007446584,0.00634792440639638,0.0272237157901222,0,0,0,0,0.00209969545061457,0.0137299071422019,0.0272237157901222,0,0,0,0.0198994178176077,0.025214094582348,0.0344463971880492,0.0557779296505448,0.045921603760677,0.0810306758717602,0.0934166540677653,0.256964043088724,0,0,0,0,0,0,0,0.0114918227326668,0.0100864285780596,0.0173722871142394,0.0148854511237295,0.000934142923867352,0.01621958827199,0,0,0,0,0
"8",0.00965057712129301,0.00720825036445608,0.0464975527713951,0.0184192130484472,0.00921498950088839,0.0160663048023269,0,0,0,0,0.00102429266842664,0.0170273273059007,0.0160663048023269,0.0247809461943237,0,0,0.012086304034083,0.0291340229404289,0.0627165453175998,0,0,0,0,0,0,0,0,0,0,0.02162454738294,0.0192602186696532,0.0142812325235634,0.0540990911538354,0.0398759849669918,0.0214462301996069,0.00560485754320411,0,0,0,0,0,0
"9",0.00142373846067022,0,0,0.00351760797996005,0.00220481343886287,0,0.00251856355030614,0,0.00377211238293444,0,0.00247000860614881,0.00219403304555231,0,0,0,0,0,0,0,0.0112516347763081,0.0076361215310821,0,0,0,0,0,0,0,0,0,0,0.00154133646147341,0,0.00025571179493065,0.00365162882321487,0.0018682858477347,0,0,0,0,0,0
"10",0.00296354865491853,0.00172239640181966,0.00443111659519533,0.00391130306771561,0.00366661282506865,0,0.00230144600286595,0,0,0,0,0.0026017511492554,0,0,0.00621295913535868,0,0.00376219086305029,0.00490661347146925,0.00532262113984434,0.0125109318230194,0.0110997857616234,0,0,0,0,0,0,0,0,0,0,0.00273484920818954,0.00152866872758442,0.00416718641518979,0.00452605214363922,0.00233535730966838,0,0,0,0,0,0
"11",0.0648312371850448,0.138010760692943,0.0735141449367513,0.0614436398825601,0.0594976578904862,0.091077348174927,0,0,0,0,0,0.0632472708369433,0.091077348174927,0.0741982803353467,0.171758690355487,0.259852189710962,0.0719524044043296,0,0,0.196537362669223,0.191644257968947,0.16366739461193,0.17242736433383,0.531450576483588,0.486787764676832,0.605280551014019,0.700663150018799,0,0,0,0,0.065274917136115,0.0417660765510263,0.0719957495368839,0.0534601931948917,0.0761326482951892,0.0991890205864005,0,0,0,0,0
"12",0.0344285468143109,0.074320119368069,0,0.0206476660515456,0.0476901954450008,0.0616148097852801,0,0.199586065880358,0,0,0,0.0320619323799525,0.0616148097852801,0.027849235224975,0.0553079985855388,0,0.0381040127126084,0.060407651099564,0.0661310569922169,0,0,0.107450357874266,0.129533504678392,0,0,0,0,0,0,0,0,0.0510959857051273,0,0.00618356934643532,0.0181892782159218,0.103689864549276,0.0826575171553337,0,0,0,0,0
"13",0.000312309014622046,0.00011032763021606,0.000857737907462357,0.00035091885752512,6.4609917622355e-05,0,0.00013027052846411,0,0.000390218522372529,0,0.000757872054975669,0.00032617448296248,0,0.000472355676532808,0,0,0.000403816036684552,0,0,0,0,8.48067136718992e-05,5.27953962414477e-05,0,0,0,0,0,0,0.000836876204316503,0.000392125991269255,0.000204602185151337,0.00197117809609571,0.000759708628729135,0.00075463137646152,0,0,0,0,0,0,0
"14",0.00104460404411707,0.000315986902075123,0,0.00316627884022348,0.000444193183653691,0.00259928876748097,0.000564505623344479,0,0.00130072840790843,0,0,0.000825629159998777,0.00259928876748097,0,0.00204251031574917,0,0.00135614563366521,0,0,0.0101278520270333,0,0,0,0,0,0,0,0,0,0,0,0.000436484661656186,0,0.000187617025522544,0.00189525901680328,0.000934142923867352,0.0171553337492202,0,0,0,0,0
"15",0.0107281367274321,0,0.00875602025698016,0.00420780953985371,0.00395735745436925,0,0.00369099830648313,0,0.00468262226847034,0,0.0281085766951678,0.0110389676577614,0,0.0110756561720724,0.0235981019072181,0.0392195543781666,0.0142624575506969,0,0,0,0.0243104233318352,0,0,0,0.0709349342552009,0.0965665982537308,0.100905226631425,0.142724924185993,0.316918515809683,0.107960409967952,0.0766725138989355,0.00488999222511696,0.00202533134049394,0.00910953956142639,0.00117245641772319,0.00373657169546941,0,0,0,0,0,0
"16",0.0064645264751188,0.0152434223845121,0.00410225958848562,0.00199258555226222,0.00278630269746406,0.0082671277138187,0.00390811585392331,0.0275789841159016,0,0,0.00745998621594723,0.00409501870406801,0.0082671277138187,0.0043228803279667,0,0,0.0070217249602289,0.0075878230187202,0.00964097414009541,0,0.0114902372805631,0,0,0,0,0,0,0,0,0.00834056341285805,0,0,0,0.00452621595627269,0,0,0,0,0,0,0,0
