"","positive","probable_cases","negative","total_test_results","hospitalized_currently","hospitalized_cumulative","in_icu_currently","in_icu_cumulative","on_ventilator_currently","on_ventilator_cumulative","recovered","death","hospitalized","total_tests_viral","positive_tests_viral","negative_tests_viral","positive_cases_viral","death_confirmed","death_probable","total_test_encounters_viral","total_tests_people_viral","total_tests_antibody","positive_tests_antibody","negative_tests_antibody","total_tests_people_antibody","positive_tests_people_antibody","negative_tests_people_antibody","total_tests_people_antigen","positive_tests_people_antigen","total_tests_antigen","positive_tests_antigen","positive_increase","negative_increase","total","total_test_results_increase","death_increase","hospitalized_increase","commercial_score","negative_regular_score","negative_score","positive_score","score"
"1",0.00211636400114318,0,0,0.00490829711912439,0.000562759773931359,0.00152340735886351,0,0,0.001026035654739,0,0,0.000588852432037687,0.00152340735886351,0.00662671308410712,0.00514506660380389,0.0254334810872584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149024132294972,0,0.000380264206052211,0.00322629895909991,0,0.000461467466543609,0,0,0,0,0
"2",0.0177821535341798,0.0471229902149488,0.0156092436852794,0.00709114615185664,0.0218350792285367,0.0512158191254347,0,0.0623118603251054,0,0.367875647668394,0.0237098810665767,0.0157370169610072,0.0512158191254347,0,0,0,0.0187917123500738,0.0275624182264465,0.0520048849989823,0,0.0405925259747199,0,0,0,0.0750228339106581,0,0,0,0,0,0,0.0102394000576868,0.0137588424240819,0.0159983221076284,0.00441918958455392,0.000487092060399416,0,0,0,0,0,0
"3",0.0114096660642194,0.0284148173477072,0.018930264246203,0.00794093568280881,0.0102181096095251,0.0167812635428668,0.0180522362581086,0,0.0283442349621649,0.349222797927461,0.0258425430004038,0.0110853398887095,0.0167812635428668,0.0107210914726999,0,0.0388922832053901,0.0122444485538619,0.0192580097533547,0.0381131691430898,0,0,0,0,0,0,0,0,0.221496013012258,0.406792662443295,0,0,0.00521317394694955,0.0215354908882041,0.0175773454832092,0.00607169705861066,0.00876765708718948,0.00692201199815413,0,0,0,0,0
"4",0,0,1.97254583060453e-05,7.47728134631651e-06,0,0,0,0,0,0,0,0,0,1.00951097557079e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6179525229675e-05,0,0,0,0,0,0,0,0
"5",0.0283557262171618,0.0203737714236866,0.023729145639428,0.021067484777216,0.0383721771567768,0.062206020696143,0.047712529873677,0,0.1026035654739,0,0.00978514218814426,0.028969482529854,0.062206020696143,0.0284433019505776,0,0,0.0355903634521261,0.0547355673057168,0.0581111337268471,0,0.0642207960050398,0.102562231855333,0,0,0,0,0,0,0,0,0,0.0372880812742365,0.022761667518744,0.0245583947908945,0.0319586915395104,0.00876765708718948,0.199815413013383,0,0,0,0,0
"6",0.123813984497053,0,0,0.133572948521035,0.169977570003296,0,0.205701604643223,0,0,0,0,0.0858644559414953,0,0.180337413193319,0,0,0.164539949940287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2255605764403,0,0.0222466581776579,0.225243953529039,0.210423770092547,0,0,0,0,0,0
"7",0.0157785169697922,0.00946706835596874,0.0178681865789807,0.017495182167503,0.0070666548755095,0.0273328083545615,0,0,0,0,0.00212123219043021,0.0138316036328852,0.0273328083545615,0,0,0,0.0199962612626945,0.0253781857895135,0.0348565031548952,0.0557989340966759,0.0459251293383131,0.0805003982271293,0.093598357369361,0.25647495122165,0,0,0,0,0,0,0,0.00800136738988773,0.0131844540356895,0.0174911781705725,0.0176371361960947,0.00779347296639065,0.010613751730503,0,0,0,0,0
"8",0.00940119050945227,0.00720307397947377,0.0429306533723468,0.0170542671520396,0.00882728902538047,0.016194626190451,0,0,0,0,0.00104683631111975,0.0169558643530852,0.016194626190451,0.0229626338428167,0,0,0.0117537602521003,0.0289518928212281,0.0630470181152046,0,0,0,0,0,0,0,0,0,0,0.0205663715588548,0.0184229000720262,0,0,0.0369024425964621,0,0,0,0,0,0,0,0
"9",0.00142438837686293,0,0,0.00352687288444912,0.00230731507311857,0,0.00273130761351997,0,0.00461716044632551,0,0.0025055706646556,0.00218569680013988,0,0,0,0,0,0,0,0.0112485680779177,0.00762191935758503,0,0,0,0,0,0,0,0,0,0,0.00167718915916205,0,0.000255931359135387,0.00470182753168319,0.00146127618119825,0,0,0,0,0,0
"10",0.00295784338906392,0.00174073834094623,0.00446552114785281,0.00389993331872305,0.00361774140384445,0,0.00243257084329123,0,0,0,0,0.0026125505281672,0,0,0.00614416426194599,0,0.00375199008356687,0.00491992949903223,0.00539385304294728,0.0124384027642232,0.0110958560716327,0,0,0,0,0,0,0,0,0,0,0.00492474014250766,0.00543835814541803,0.00419423949476091,0.00424273897830873,0,0,0,0,0,0,0
"11",0.0649084075900953,0.138192409030495,0.0740193214182409,0.0616843705511705,0.059660575462066,0.0911494392592514,0,0,0,0,0,0.0630380671240344,0.0911494392592514,0.0745373938361817,0.171821121090311,0.259792926093754,0.072066370359899,0,0,0.196735426600645,0.191470386792156,0.164755581766264,0.174592683489861,0.533321955562116,0.487874632743325,0.606002559838399,0.700841736748925,0,0,0,0,0.0573502547831939,0.135751196133266,0.0724229647251647,0.0567214737746324,0.0657574281539211,0.095523765574527,0,0,0,0,0
"12",0.0343355822155406,0.0738422619906489,0,0.0207038268495323,0.0469100468698497,0.061595600748359,0,0.199603652418222,0,0,0,0.0316180327700236,0.061595600748359,0.0279523258158746,0.0550963596313946,0,0.0380459857978309,0.0596446837728831,0.0643191532668431,0,0,0.107699159163176,0.129549127048732,0,0,0,0,0,0,0,0,0.033821534254185,0,0.00616935125691058,0.0199383902104781,0.00243546030199708,0.0479926165205353,0,0,0,0,0
"13",0.000314913078267766,0.00010780925602357,0.000857163338436482,0.000351072335436376,5.62759773931359e-05,0,0.000170706725844998,0,0.000513017827369501,0,0.000771240629212715,0.0003265688160209,0,0.000473003065464989,0,0,0.000407425067422809,0,0,0,0,8.53705741563766e-05,5.34583935752731e-05,0,0,0,0,0,0,0.000785304738921339,0.000401158497114394,1.60241002467711e-05,0,0.000759658951636473,1.58488568483703e-06,0.000487092060399416,0,0,0,0,0,0
"14",0.00104955597424277,0.000321249803302557,0,0.00318231347070879,0.000868257936922669,0.00254738021499466,0.000853533629224992,0,0.00230858022316275,0,0,0.000827993376052992,0.00254738021499466,0,0.00205187256235428,0,0.00136179284476361,0,0,0.0101496342208357,0,0,0,0,0,0,0,0,0,0,0,0.000694377677360083,0,0.000188582195235413,0.00288290706071856,0.000974184120798831,0,0,0,0,0,0
"15",0.0108120297132524,0,0.00884642561007501,0.00425119433322144,0.00381068761204949,0,0.00396893137589621,0,0.00513017827369501,0,0.0284059033022345,0.0111161967847114,0,0.0111771404145846,0.0237861997680767,0.0393710393280136,0.0143684159345812,0,0,0,0.0243818813813973,0,0,0,0.0708295921295126,0.095488937841203,0.100676063165865,0.143532975534007,0.317109944320271,0.108646120780691,0.0774889301528353,0.0029270689784102,0.0028841629715026,0.00919883882722847,0.00103757182833997,0.000974184120798831,0,0,0,0,0,0
"16",0.00653373104504351,0.0154259799616352,0.0041392399454615,0.00201260461389209,0.00277360174294741,0.00831730210238143,0.00384090133151246,0.0276690748545053,0,0,0.00755602176564967,0.00412710984026413,0.00831730210238143,0.00436984751671645,0,0,0.00709862409881808,0.00764481352926547,0.00971911255851822,0,0.0115209450371948,0,0,0,0,0,0,0,0,0.00854476042254545,0,0.00430514159963251,0.00243809539328291,0.00456912060643764,0.000908667792639897,0.000974184120798831,0.0119981541301338,0,0,0,0,0
"17",0.0449743760732039,0,0.126235227325445,0.0515862287177792,0.0273983615651153,0,0.0307272106520997,0,0.0496344747979992,0,0,0.0515567304032996,0,0.0696467896109829,0,0,0,0.0984418421081087,0.0937309179727254,0,0,0,0,0,0,0,0,0,0,0,0,0.0222307684090205,0.188780280146734,0.11162355010946,0.0511627513826807,0.0146127618119825,0,0,0,0,0,0
"18",0.0248350030515094,0,0.0206577258661069,0.0224709250631825,0.0188765707027262,0.0507335609415794,0.0224906111300785,0.168548063415613,0.0357829934590227,0,0.0402053508290303,0.0239398084815321,0.0507335609415794,0.0303380927262909,0.0573208883037195,0,0,0.0483126263773099,0.0190311418685121,0,0.0566308988294462,0,0,0,0,0,0,0,0,0,0,0.0168894016600968,0.0169587153253747,0.0214065098682667,0.0237685306155009,0.0112031173891866,0.0609137055837563,0,0,0,0,0
"19",0.0107776518424687,0,0.00778170251923875,0.00384473770497176,0.00623859406529621,0.0101908421152769,0.00857801297371116,0.0518763796909492,0.00859304860843914,0.10699481865285,0.000548841323115641,0.00900507081657632,0.0101908421152769,0,0,0,0,0,0,0,0.0220087996796102,0,0,0,0,0,0,0,0,0,0,0,0,0.00831933798100528,0,0,0,0,0,0,0,0
"20",0.0137458885413044,0.0363219184384864,0,0.0118823818892307,0.0131123027326007,0.0201438582768717,0.0174120860361898,0.0838852097130243,0.0274464537642683,0,0.00433059090705162,0.00804079281651461,0.0201438582768717,0.0160424549746429,0.0179307643870618,0,0.0145370673212607,0.0155923919507791,0.0123651536739263,0,0,0.0265188362445459,0.0186521195038089,0,0,0,0,0,0,0.0266671441827291,0.0370995632842725,0.0125522118599707,0,0.00246983476841312,0,0.0165611300535801,0,0,0,0,0,0
"21",0.0155260058283325,0.0233472378234073,0.0393528976758165,0.0162066439362438,0.0155160909098218,0,0,0,0.0303963062716429,0,0.0318979569600728,0.02109325982535,0,0.0216783849269784,0,0,0.0182352075091471,0.041857246353305,0.0234581721962141,0,0,0,0,0,0,0,0,0,0,0.0321726086399535,0,0.0220438205728082,0.0830846693294932,0.0350683346406365,0.0237299650638366,0.0599123234291281,0,0,0,0,0,0
"22",0.0197826342352763,0.0118856982310026,0.0359991918461297,0.0431469287391817,0.0174053558651628,0.0226053568974812,0.0184790030727211,0,0.0369372835706041,0,0.0346313747524446,0.0351048620182467,0.0226053568974812,0.058252854355724,0.0459711423261582,0,0.0250690556411456,0.0722959310561088,0.0142479136983513,0,0.0870826538120308,0,0,0,0.110898948441378,0.116402991702293,0,0.302576806896044,0,0,0,0.0235767928297493,0.0315241456991142,0.0330823281607971,0.0471117835722372,0.0336093521675597,0,0,0,0,0,0
"23",0.0137362105605453,0,0.0250390174634921,0.0225543037383073,0.014655872398241,0.0391501157419641,0.0174120860361898,0,0,0,0.00100987658013532,0.0168864363370807,0.0391501157419641,0.030450662634749,0.0336664883978086,0,0.018254443608954,0.0345692628756177,0.00880317524933849,0,0.0608623271589726,0,0,0,0.139032801173675,0.182105510618105,0.198482200085211,0,0,0,0,0.0128940593319018,0.0229286882557943,0.0230059920266846,0.0246845945413367,0.0126643935703848,0.10106137517305,0,0,0,0,0
"24",0.00141210154911651,0.00329308272944723,0.0111141527849752,0.00433027182454379,0.0016480821950847,0.00164364159100278,0.00281666097644247,0,0.00333461587790176,0,0.00128066536061375,0.0013139894880841,0.00164364159100278,0.00581501436899712,0.00273540271653021,0.0227236354574651,0.00153838471450301,0.00271947751430023,0.000407083248524323,0,0,0.00354604539181294,0.00151870436293389,0.0123258163166464,0,0,0,0,0,0.0132141750426735,0.00969618322002632,0.00181606469463406,0,0.009369948647321,0.000179620377614863,0.00194836824159766,0.000922934933087217,0,0,0,0,0
"25",0.0244804523303063,0.0251832621229603,0.0758216107346534,0.0307743027419421,0.0178636031096497,0,0.021039603960396,0,0.0328331409516481,0,0.0472580366050885,0.0377199839544141,0,0.0419955999756529,0.0578277451018017,0.155775720794414,0.0299464694012087,0.0746315459391659,0.0440158762466924,0,0,0.117495242553761,0,0,0,0,0,0,0,0,0,0,0,0.0665901929561862,0,0,0,0,0,0,0,0
"26",0.0187828567446774,0.00972515718099486,0.025041662887106,0.0204864161592464,0.00492012830922846,0.0308737725538279,0.0053345851826562,0.122391129841461,0,0,0.0456621453307896,0.0152407352169754,0.0308737725538279,0,0,0,0.0239623088755085,0.030871205977444,0.0110421331162223,0.0653391416106653,0.0629096866660494,0,0,0,0,0,0,0,0,0.0313145945066321,0,0.00712004187631531,0.0193744054978338,0.0239149335604052,0.0143226119338722,0.0194836824159766,0.0350715274573143,0,0,0,0,0
"27",0.0184112643617027,0,0.0158448707369978,0.0137437183062415,0.0202754307122127,0,0.025307272106521,0,0.0409131717327177,0,0,0.0160815856330292,0,0.0185554532893682,0.0413201115221713,0.0651828705032389,0.024467256495441,0,0,0,0.0431338791425248,0.0315787527080458,0.040966138967524,0.0992449157506792,0.0887765432127409,0,0,0.162122624667751,0,0.0555119996468401,0.0920157302756141,0.00721084511104701,0.00667064529072811,0.0163046292502242,0.00671516064665449,0.000487092060399416,0,0,0,0,0,0
